Source,Target,Weight
CHUCK,OTIS,1
DRACO,BULL,1
DRACO,SANDY,1
DRACO,LILY,1
DRACO,AMBER,1
DRACO,TARA,1
DRACO,BARLEY,2
DRACO,JAE-YONG,1
DRACO,RICO,1
DRACO,LARRY & LAWRIE,1
DRACO,GALE,1
DRACO,NANI,1
DRACO,LOLA,1
ASH,NANI,2
ASH,JANET,1
ASH,8-BIT,2
ASH,DOUG,1
ASH,CARL,1
ASH,TARA,1
ASH,LEON,1
NANI,HANK,2
NANI,MEEPLE,2
NANI,RICO,1
NANI,BULL,1
NANI,MELODIE,1
NANI,AMBER,1
NANI,EMZ,1
NANI,SANDY,1
NANI,LOU,1
NANI,8-BIT,1
NANI,COLETTE,1
NANI,DARRYL,1
NANI,MOE,1
NANI,MEG,1
NANI,GALE,1
NANI,LEON,1
BULL,MR. P,1
BULL,DOUG,1
BULL,JAE-YONG,1
BULL,LEON,1
BULL,RICO,1
BULL,MELODIE,1
BULL,MEEPLE,1
BULL,SANDY,2
BULL,LUMI,1
BULL,DYNAMIKE,1
BULL,LILY,1
BULL,CARL,1
BULL,BONNIE,1
BULL,BARLEY,1
BULL,BUZZ,1
BULL,WILLOW,2
BULL,TARA,1
BULL,ALLI,1
DYNAMIKE,DARRYL,3
DYNAMIKE,HANK,2
DYNAMIKE,JACKY,1
DYNAMIKE,LEON,1
DYNAMIKE,R-T,1
DYNAMIKE,BARLEY,3
DYNAMIKE,WILLOW,3
DYNAMIKE,CORDELIUS,2
DYNAMIKE,COLETTE,3
DYNAMIKE,LARRY & LAWRIE,3
DYNAMIKE,EMZ,1
DYNAMIKE,8-BIT,2
DYNAMIKE,PEARL,1
DYNAMIKE,BERRY,1
DYNAMIKE,BUZZ,1
DYNAMIKE,RICO,2
DYNAMIKE,LILY,2
DYNAMIKE,AMBER,2
DYNAMIKE,BONNIE,1
DYNAMIKE,JANET,1
DYNAMIKE,TARA,2
DYNAMIKE,ALLI,1
DYNAMIKE,LOLA,1
DYNAMIKE,OLLIE,1
DYNAMIKE,SANDY,1
TARA,WILLOW,1
TARA,LOU,1
TARA,DOUG,1
TARA,COLETTE,2
TARA,LARRY & LAWRIE,1
TARA,BERRY,1
TARA,DARRYL,1
TARA,MEEPLE,1
TARA,JUJU,1
TARA,LEON,1
TARA,HANK,1
TARA,MR. P,1
TARA,AMBER,1
TARA,LILY,1
TARA,LUMI,1
TARA,BONNIE,1
TARA,JANET,1
WILLOW,JAE-YONG,1
WILLOW,COLETTE,1
WILLOW,JACKY,1
WILLOW,ALLI,2
WILLOW,MR. P,1
WILLOW,MEEPLE,1
WILLOW,MEG,1
WILLOW,AMBER,1
WILLOW,OLLIE,1
EMZ,HANK,1
EMZ,JAE-YONG,1
EMZ,MELODIE,2
EMZ,ANGELO,1
EMZ,SANDY,3
EMZ,ALLI,1
EMZ,BONNIE,2
EMZ,8-BIT,1
EMZ,LILY,2
EMZ,AMBER,2
EMZ,JANET,1
EMZ,RICO,1
HANK,MEEPLE,1
HANK,MR. P,3
HANK,LILY,1
HANK,ALLI,3
HANK,JUJU,1
HANK,MELODIE,1
HANK,BONNIE,1
HANK,LUMI,1
DARRYL,BUZZ,1
DARRYL,MEEPLE,1
DARRYL,CARL,1
DARRYL,GALE,1
DARRYL,JACKY,2
DARRYL,COLETTE,3
DARRYL,LEON,1
DARRYL,RICO,1
DARRYL,8-BIT,1
DARRYL,SANDY,3
DARRYL,BERRY,3
DARRYL,MELODIE,2
DARRYL,RUFFS,1
DARRYL,LUMI,1
DARRYL,OTIS,1
DARRYL,LILY,1
DARRYL,JAE-YONG,1
ANGELO,MEEPLE,1
ANGELO,ALLI,3
ANGELO,ROSA,3
ANGELO,MR. P,2
ANGELO,8-BIT,1
ANGELO,RICO,1
ANGELO,OTIS,1
ANGELO,LEON,1
MEEPLE,BERRY,2
MEEPLE,JAE-YONG,1
MEEPLE,LOLA,1
MEEPLE,CORDELIUS,2
MEEPLE,8-BIT,1
MEEPLE,DOUG,1
MEEPLE,LOU,1
MEEPLE,COLETTE,1
MEEPLE,MEG,2
BERRY,CARL,1
BERRY,ALLI,1
BERRY,COLETTE,2
BERRY,LEON,1
BERRY,CLANCY,1
BERRY,BUZZ,1
BERRY,GALE,1
BERRY,MELODIE,3
BERRY,SANDY,1
BERRY,AMBER,1
BERRY,OLLIE,1
JAE-YONG,DOUG,1
JAE-YONG,MELODIE,1
JAE-YONG,CLANCY,1
JAE-YONG,RICO,1
JAE-YONG,JACKY,1
JAE-YONG,CORDELIUS,1
JAE-YONG,ALLI,1
LOLA,SANDY,1
LOLA,8-BIT,1
LOLA,BARLEY,1
8-BIT,GALE,1
8-BIT,JANET,1
8-BIT,DOUG,2
8-BIT,SANDY,1
8-BIT,PEARL,1
8-BIT,COLETTE,1
8-BIT,BUZZ,1
8-BIT,ALLI,1
8-BIT,LUMI,1
GALE,JANET,2
GALE,JACKY,1
GALE,COLETTE,1
GALE,LILY,1
JANET,COLETTE,1
JANET,LOU,1
JANET,ALLI,1
JANET,LILY,1
JANET,BONNIE,1
JANET,CARL,1
JANET,AMBER,1
COLETTE,MR. P,1
COLETTE,BARLEY,1
COLETTE,LARRY & LAWRIE,3
COLETTE,ALLI,1
COLETTE,LOU,2
COLETTE,CARL,1
COLETTE,CLANCY,1
COLETTE,MOE,1
COLETTE,COLETTE,2
COLETTE,JACKY,1
COLETTE,LUMI,1
COLETTE,SANDY,1
COLETTE,LEON,1
COLETTE,RICO,1
COLETTE,RUFFS,1
COLETTE,BONNIE,1
LEON,LILY,2
LEON,RICO,3
LEON,JUJU,1
LEON,CORDELIUS,1
LEON,CARL,2
LEON,DOUG,1
LEON,JACKY,1
LEON,LUMI,1
LEON,BARLEY,1
LILY,MR. P,1
LILY,BONNIE,1
LILY,SANDY,1
LILY,AMBER,4
LILY,LUMI,1
LILY,BUZZ,1
LILY,DOUG,2
LILY,RICO,1
MR. P,MOE,1
MR. P,BONNIE,2
CORDELIUS,DOUG,1
CORDELIUS,CLANCY,1
CORDELIUS,RICO,1
CORDELIUS,ROSA,1
CORDELIUS,BARLEY,1
BONNIE,ALLI,1
BONNIE,MELODIE,1
BONNIE,RICO,3
BONNIE,ROSA,1
BONNIE,AMBER,1
LOU,LUMI,1
LOU,CLANCY,1
LOU,MOE,1
LOU,MELODIE,1
ALLI,ROSA,3
ALLI,ALLI,1
ALLI,MEG,1
ALLI,LUMI,1
MOE,LUMI,3
MOE,CLANCY,1
LUMI,BUZZ,1
DOUG,RUFFS,4
DOUG,R-T,1
DOUG,MEG,1
DOUG,JUJU,2
DOUG,CARL,1
DOUG,AMBER,2
RUFFS,R-T,1
RUFFS,RICO,1
R-T,SANDY,2
R-T,BARLEY,1
R-T,MELODIE,1
R-T,CARL,1
CARL,RICO,1
CARL,PEARL,1
CARL,BARLEY,1
CARL,JACKY,1
RICO,BARLEY,1
RICO,MELODIE,2
RICO,SANDY,3
RICO,AMBER,2
RICO,JACKY,2
RICO,JUJU,1
JACKY,PEARL,1
JACKY,SANDY,1
JACKY,MEG,1
BUZZ,AMBER,1
LARRY & LAWRIE,MELODIE,1
LARRY & LAWRIE,BARLEY,2
MELODIE,BARLEY,1
MELODIE,SANDY,1
SANDY,AMBER,1
SANDY,OLLIE,1
BARLEY,JUJU,1
OLLIE,AMBER,2
JUJU,JUJU,1
