Brawler_1,Brawler_2,Weight
AMBER,JESSIE,17
AMBER,JUJU,3
AMBER,KAZE,9
AMBER,KENJI,15
AMBER,KIT,13
AMBER,LARRY & LAWRIE,3
AMBER,LEON,9
AMBER,LILY,12
AMBER,LOLA,6
AMBER,LOU,10
AMBER,LUMI,5
AMBER,MAISIE,8
AMBER,MANDY,30
AMBER,MAX,10
AMBER,MEEPLE,2
AMBER,MEG,1
AMBER,MELODIE,5
AMBER,MICO,3
AMBER,MOE,2
AMBER,MORTIS,40
AMBER,MR. P,10
AMBER,NANI,4
AMBER,NITA,15
AMBER,OLLIE,2
AMBER,OTIS,2
AMBER,PAM,4
AMBER,PEARL,3
AMBER,PENNY,15
AMBER,PIPER,16
AMBER,POCO,5
AMBER,RICO,23
AMBER,ROSA,3
AMBER,RUFFS,3
AMBER,SAM,2
AMBER,SHADE,7
AMBER,SHELLY,7
AMBER,SPIKE,13
AMBER,SPROUT,3
AMBER,SQUEAK,17
AMBER,STU,31
AMBER,SURGE,10
AMBER,TARA,10
AMBER,TICK,48
AMBER,WILLOW,8
ANGELO,ASH,2
ANGELO,BARLEY,3
ANGELO,BEA,15
ANGELO,BELLE,11
ANGELO,BERRY,6
ANGELO,BIBI,3
ANGELO,BO,4
ANGELO,BONNIE,4
ANGELO,BROCK,26
ANGELO,BULL,6
ANGELO,BUSTER,1
ANGELO,BUZZ,1
ANGELO,BYRON,13
ANGELO,CARL,4
ANGELO,CHARLIE,5
ANGELO,CHESTER,5
ANGELO,CHUCK,5
ANGELO,CLANCY,2
ANGELO,COLETTE,28
ANGELO,COLT,27
ANGELO,CORDELIUS,4
ANGELO,CROW,17
ANGELO,DARRYL,5
ANGELO,DOUG,2
ANGELO,DRACO,2
ANGELO,DYNAMIKE,19
ANGELO,EDGAR,30
ANGELO,EL PRIMO,14
ANGELO,EMZ,8
ANGELO,FANG,11
ANGELO,FINX,2
ANGELO,FRANK,4
ANGELO,GALE,3
ANGELO,GENE,5
ANGELO,GRAY,15
ANGELO,GRIFF,6
ANGELO,GROM,10
ANGELO,GUS,9
ANGELO,HANK,1
ANGELO,JAE-YONG,5
ANGELO,JANET,1
ANGELO,JESSIE,4
ANGELO,JUJU,6
ANGELO,KAZE,3
ANGELO,KENJI,3
ANGELO,KIT,6
ANGELO,LARRY & LAWRIE,2
ANGELO,LEON,11
ANGELO,LILY,5
ANGELO,LOLA,1
ANGELO,LOU,1
ANGELO,LUMI,3
ANGELO,MAISIE,4
ANGELO,MANDY,37
ANGELO,MAX,8
ANGELO,MEEPLE,8
ANGELO,MEG,3
ANGELO,MELODIE,3
ANGELO,MICO,3
ANGELO,MORTIS,16
ANGELO,MR. P,11
ANGELO,NANI,7
ANGELO,NITA,4
ANGELO,OLLIE,3
ANGELO,OTIS,1
ANGELO,PAM,4
ANGELO,PEARL,3
ANGELO,PENNY,2
ANGELO,PIPER,45
ANGELO,POCO,4
ANGELO,R-T,3
ANGELO,RICO,11
ANGELO,ROSA,3
ANGELO,RUFFS,1
ANGELO,SAM,3
ANGELO,SANDY,4
ANGELO,SHADE,4
ANGELO,SHELLY,4
ANGELO,SPIKE,20
ANGELO,SPROUT,7
ANGELO,SQUEAK,15
ANGELO,STU,7
ANGELO,SURGE,4
ANGELO,TARA,7
ANGELO,TICK,23
ANGELO,WILLOW,2
ASH,BARLEY,5
ASH,BEA,4
ASH,BELLE,2
ASH,BERRY,4
ASH,BIBI,4
ASH,BO,1
ASH,BONNIE,13
ASH,BROCK,4
ASH,BULL,4
ASH,BUZZ,2
ASH,BYRON,2
ASH,CARL,4
ASH,CHARLIE,8
ASH,CHESTER,11
ASH,CHUCK,1
ASH,CLANCY,3
ASH,COLETTE,4
ASH,COLT,4
ASH,CORDELIUS,1
ASH,CROW,1
ASH,DARRYL,5
ASH,DOUG,2
ASH,DRACO,1
ASH,DYNAMIKE,11
ASH,EDGAR,9
ASH,EL PRIMO,4
ASH,EMZ,9
ASH,EVE,1
ASH,FANG,13
ASH,FRANK,5
ASH,GALE,2
ASH,GENE,7
ASH,GRAY,8
ASH,GRIFF,2
ASH,GROM,6
ASH,GUS,2
ASH,HANK,4
ASH,JACKY,3
ASH,JAE-YONG,7
ASH,JANET,1
ASH,JESSIE,7
ASH,JUJU,2
ASH,KAZE,4
ASH,KENJI,3
ASH,KIT,5
ASH,LARRY & LAWRIE,4
ASH,LEON,6
ASH,LILY,4
ASH,LOLA,6
ASH,LUMI,2
ASH,MAISIE,5
ASH,MANDY,7
ASH,MAX,5
ASH,MEEPLE,4
ASH,MEG,7
ASH,MELODIE,3
ASH,MOE,2
ASH,MORTIS,21
ASH,MR. P,6
ASH,NANI,3
ASH,NITA,5
ASH,OLLIE,2
ASH,OTIS,4
ASH,PAM,4
ASH,PIPER,6
ASH,POCO,4
ASH,R-T,4
ASH,RICO,7
ASH,ROSA,4
ASH,RUFFS,2
ASH,SAM,1
ASH,SANDY,2
ASH,SHADE,5
ASH,SHELLY,5
ASH,SPIKE,3
ASH,SPROUT,4
ASH,SQUEAK,5
ASH,STU,9
ASH,SURGE,3
ASH,TARA,5
ASH,TICK,12
ASH,WILLOW,3
BARLEY,BEA,13
BARLEY,BELLE,5
BARLEY,BERRY,8
BARLEY,BIBI,15
BARLEY,BO,26
BARLEY,BONNIE,8
BARLEY,BROCK,28
BARLEY,BULL,16
BARLEY,BUSTER,4
BARLEY,BUZZ,12
BARLEY,BYRON,10
BARLEY,CARL,17
BARLEY,CHARLIE,2
BARLEY,CHESTER,6
BARLEY,CHUCK,7
BARLEY,CLANCY,3
BARLEY,COLETTE,29
BARLEY,COLT,38
BARLEY,CORDELIUS,8
BARLEY,CROW,18
BARLEY,DARRYL,11
BARLEY,DOUG,5
BARLEY,DRACO,10
BARLEY,DYNAMIKE,38
BARLEY,EDGAR,49
BARLEY,EL PRIMO,25
BARLEY,EMZ,37
BARLEY,EVE,3
BARLEY,FANG,19
BARLEY,FINX,1
BARLEY,FRANK,14
BARLEY,GALE,12
BARLEY,GENE,5
BARLEY,GRAY,5
BARLEY,GRIFF,19
BARLEY,GROM,18
BARLEY,GUS,11
BARLEY,HANK,5
BARLEY,JACKY,9
BARLEY,JAE-YONG,3
BARLEY,JANET,4
BARLEY,JESSIE,21
BARLEY,JUJU,5
BARLEY,KAZE,6
BARLEY,KENJI,9
BARLEY,KIT,14
BARLEY,LARRY & LAWRIE,8
BARLEY,LEON,22
BARLEY,LILY,10
BARLEY,LOLA,2
BARLEY,LOU,8
BARLEY,LUMI,2
BARLEY,MAISIE,4
BARLEY,MANDY,20
BARLEY,MAX,10
BARLEY,MEEPLE,2
BARLEY,MEG,3
BARLEY,MELODIE,3
BARLEY,MICO,7
BARLEY,MOE,1
BARLEY,MORTIS,54
BARLEY,MR. P,13
BARLEY,NANI,8
BARLEY,NITA,23
BARLEY,OLLIE,3
BARLEY,OTIS,4
BARLEY,PAM,8
BARLEY,PEARL,3
BARLEY,PENNY,15
BARLEY,PIPER,18
BARLEY,POCO,18
BARLEY,R-T,7
BARLEY,RICO,25
BARLEY,ROSA,7
BARLEY,RUFFS,1
BARLEY,SAM,4
BARLEY,SANDY,6
BARLEY,SHADE,11
BARLEY,SHELLY,22
BARLEY,SPIKE,19
BARLEY,SPROUT,5
BARLEY,SQUEAK,14
BARLEY,STU,16
BARLEY,SURGE,13
BARLEY,TARA,6
BARLEY,TICK,22
BARLEY,WILLOW,1
BEA,BEA,2
BEA,BELLE,21
BEA,BERRY,11
BEA,BIBI,25
BEA,BO,30
BEA,BONNIE,18
BEA,BROCK,42
BEA,BULL,21
BEA,BUSTER,6
BEA,BUZZ,17
BEA,BYRON,28
BEA,CARL,16
BEA,CHARLIE,1
BEA,CHESTER,17
BEA,CHUCK,4
BEA,CLANCY,3
BEA,COLETTE,67
BEA,COLT,51
BEA,CORDELIUS,13
BEA,CROW,26
BEA,DARRYL,10
BEA,DOUG,3
BEA,DRACO,8
BEA,DYNAMIKE,59
BEA,EDGAR,72
BEA,EL PRIMO,21
BEA,EMZ,34
BEA,EVE,1
BEA,FANG,31
BEA,FRANK,24
BEA,GALE,15
BEA,GENE,21
BEA,GRAY,10
BEA,GRIFF,21
BEA,GROM,32
BEA,GUS,30
BEA,HANK,27
BEA,JACKY,4
BEA,JAE-YONG,5
BEA,JANET,8
BEA,JESSIE,15
BEA,JUJU,4
BEA,KAZE,16
BEA,KENJI,13
BEA,KIT,19
BEA,LARRY & LAWRIE,6
BEA,LEON,48
BEA,LILY,21
BEA,LOLA,9
BEA,LOU,7
BEA,LUMI,7
BEA,MAISIE,8
BEA,MANDY,77
BEA,MAX,17
BEA,MEEPLE,8
BEA,MEG,4
BEA,MELODIE,5
BEA,MICO,3
BEA,MOE,6
BEA,MORTIS,106
BEA,MR. P,13
BEA,NANI,12
BEA,NITA,9
BEA,OLLIE,4
BEA,OTIS,4
BEA,PAM,8
BEA,PEARL,2
BEA,PENNY,12
BEA,PIPER,98
BEA,POCO,10
BEA,R-T,5
BEA,RICO,36
BEA,ROSA,4
BEA,RUFFS,2
BEA,SAM,1
BEA,SANDY,8
BEA,SHADE,8
BEA,SHELLY,5
BEA,SPIKE,24
BEA,SPROUT,13
BEA,SQUEAK,32
BEA,STU,20
BEA,SURGE,13
BEA,TARA,14
BEA,TICK,40
BEA,WILLOW,6
BELLE,BERRY,10
BELLE,BIBI,2
BELLE,BO,13
BELLE,BONNIE,6
BELLE,BROCK,58
BELLE,BULL,2
BELLE,BUSTER,5
BELLE,BUZZ,10
BELLE,BYRON,19
BELLE,CARL,8
BELLE,CHARLIE,1
BELLE,CHESTER,11
BELLE,CLANCY,3
BELLE,COLETTE,34
BELLE,COLT,36
BELLE,CORDELIUS,12
BELLE,CROW,27
BELLE,DARRYL,6
BELLE,DOUG,8
BELLE,DRACO,2
BELLE,DYNAMIKE,31
BELLE,EDGAR,67
BELLE,EL PRIMO,8
BELLE,EMZ,28
BELLE,EVE,3
BELLE,FANG,50
BELLE,FINX,3
BELLE,FRANK,14
BELLE,GALE,5
BELLE,GENE,12
BELLE,GRAY,11
BELLE,GRIFF,11
BELLE,GROM,23
BELLE,GUS,15
BELLE,HANK,4
BELLE,JACKY,4
BELLE,JAE-YONG,5
BELLE,JANET,3
BELLE,JESSIE,6
BELLE,JUJU,2
BELLE,KAZE,6
BELLE,KENJI,11
BELLE,KIT,14
BELLE,LARRY & LAWRIE,1
BELLE,LEON,23
BELLE,LILY,22
BELLE,LOLA,1
BELLE,LOU,3
BELLE,LUMI,11
BELLE,MAISIE,11
BELLE,MANDY,63
BELLE,MAX,7
BELLE,MEEPLE,13
BELLE,MEG,3
BELLE,MELODIE,3
BELLE,MICO,8
BELLE,MORTIS,38
BELLE,MR. P,11
BELLE,NANI,11
BELLE,NITA,10
BELLE,OLLIE,6
BELLE,OTIS,2
BELLE,PAM,2
BELLE,PEARL,5
BELLE,PENNY,11
BELLE,PIPER,70
BELLE,POCO,3
BELLE,RICO,25
BELLE,ROSA,4
BELLE,RUFFS,4
BELLE,SANDY,17
BELLE,SHADE,6
BELLE,SHELLY,7
BELLE,SPIKE,25
BELLE,SPROUT,13
BELLE,SQUEAK,24
BELLE,STU,8
BELLE,SURGE,14
BELLE,TARA,15
BELLE,TICK,40
BELLE,WILLOW,2
BERRY,BIBI,12
BERRY,BO,13
BERRY,BONNIE,3
BERRY,BROCK,20
BERRY,BULL,3
BERRY,BUSTER,10
BERRY,BUZZ,9
BERRY,BYRON,6
BERRY,CARL,7
BERRY,CHARLIE,3
BERRY,CHESTER,2
BERRY,CHUCK,9
