Source,Target,Type,Weight,probability
EL PRIMO,SHELLY,Undirected,1.390635,0.7191011235955056
EL PRIMO,SPROUT,Undirected,1.25001,0.8
EL PRIMO,STU,Undirected,1.5588335294117648,0.6415094339622641
EMZ,JACKY,Undirected,1.5675775675675676,0.6379310344827587
EMZ,JESSIE,Undirected,1.6805655555555556,0.5950413223140496
EMZ,POCO,Undirected,1.450990392156863,0.6891891891891891
EMZ,SHELLY,Undirected,1.5396925396825396,0.6494845360824743
EMZ,STU,Undirected,1.5365953658536586,0.6507936507936508
FANG,FINX,Undirected,1.3000099999999999,0.7692307692307693
FANG,NANI,Undirected,1.4347926086956522,0.696969696969697
FANG,RUFFS,Undirected,1.00001,1.0
FINX,PIPER,Undirected,1.3077023076923078,0.7647058823529411
FRANK,PAM,Undirected,1.368431052631579,0.7307692307692307
GALE,MEG,Undirected,1.181828181818182,0.8461538461538461
GALE,STU,Undirected,1.3157994736842107,0.76
GENE,GRIFF,Undirected,1.2727372727272728,0.7857142857142857
GENE,MAISIE,Undirected,1.25001,0.8
GENE,NANI,Undirected,1.3571528571428573,0.7368421052631579
GENE,PAM,Undirected,1.3529511764705884,0.7391304347826086
GENE,SAM,Undirected,1.00001,1.0
GENE,STU,Undirected,1.4444544444444445,0.6923076923076923
GENE,TARA,Undirected,1.1666766666666668,0.8571428571428571
GRAY,GUS,Undirected,1.4285814285714287,0.7
GRAY,TARA,Undirected,1.00001,1.0
GRIFF,PENNY,Undirected,1.6511727906976745,0.6056338028169014
GRIFF,PIPER,Undirected,1.5952480952380952,0.6268656716417911
GUS,POCO,Undirected,1.5555655555555554,0.6428571428571429
GUS,STU,Undirected,1.5416766666666666,0.6486486486486487
HANK,PAM,Undirected,1.230779230769231,0.8125
HANK,PIPER,Undirected,1.4210626315789474,0.7037037037037037
JACKY,JESSIE,Undirected,1.2941276470588237,0.7727272727272727
JACKY,MAX,Undirected,1.3846253846153846,0.7222222222222222
JACKY,NITA,Undirected,1.5238195238095238,0.65625
JACKY,POCO,Undirected,1.310354827586207,0.7631578947368421
JACKY,SHELLY,Undirected,1.3333433333333333,0.75
JESSIE,POCO,Undirected,1.4166766666666666,0.7058823529411765
JESSIE,SHELLY,Undirected,1.4347926086956522,0.696969696969697
JESSIE,SQUEAK,Undirected,1.631588947368421,0.6129032258064516
JUJU,SHELLY,Undirected,1.1428671428571429,0.875
KENJI,SHELLY,Undirected,1.3333433333333333,0.75
KIT,LOLA,Undirected,1.1000100000000002,0.9090909090909091
KIT,POCO,Undirected,1.12501,0.8888888888888888
LEON,MELODIE,Undirected,1.3000099999999999,0.7692307692307693
LILY,MOE,Undirected,1.00001,1.0
LOLA,MAX,Undirected,1.1111211111111112,0.9
LOLA,ROSA,Undirected,1.0909190909090911,0.9166666666666666
MANDY,SURGE,Undirected,1.5483970967741936,0.6458333333333334
MAX,MEG,Undirected,1.3333433333333333,0.75
MAX,STU,Undirected,1.50001,0.6666666666666666
MEEPLE,POCO,Undirected,1.4117747058823529,0.7083333333333334
MELODIE,ROSA,Undirected,1.00001,1.0
MELODIE,TICK,Undirected,1.2727372727272728,0.7857142857142857
MOE,SPIKE,Undirected,1.20001,0.8333333333333334
MORTIS,MORTIS,Undirected,1.40001,0.7142857142857143
MORTIS,PAM,Undirected,1.4285814285714287,0.7
MORTIS,POCO,Undirected,1.6515251515151514,0.6055045871559633
MORTIS,R-T,Undirected,1.50001,0.6666666666666666
MORTIS,RICO,Undirected,1.6666766666666668,0.6
MR. P,PAM,Undirected,1.1000100000000002,0.9090909090909091
NANI,PAM,Undirected,1.2142957142857145,0.8235294117647058
NANI,ROSA,Undirected,1.2142957142857145,0.8235294117647058
NITA,PAM,Undirected,1.3077023076923078,0.7647058823529411
NITA,POCO,Undirected,1.4210626315789474,0.7037037037037037
NITA,SHELLY,Undirected,1.672737272727273,0.5978260869565217
NITA,STU,Undirected,1.4117747058823529,0.7083333333333334
NITA,WILLOW,Undirected,1.00001,1.0
PAM,PENNY,Undirected,1.368431052631579,0.7307692307692307
PAM,POCO,Undirected,1.40001,0.7142857142857143
PAM,SHELLY,Undirected,1.1666766666666668,0.8571428571428571
PAM,SPROUT,Undirected,1.1428671428571429,0.875
PAM,STU,Undirected,1.1935583870967743,0.8378378378378378
PIPER,POCO,Undirected,1.5555655555555554,0.6428571428571429
POCO,POCO,Undirected,1.6842205263157894,0.59375
POCO,SHELLY,Undirected,1.1785814285714287,0.8484848484848485
POCO,STU,Undirected,1.4545554545454547,0.6875
POCO,SURGE,Undirected,1.3333433333333333,0.75
RICO,SHADE,Undirected,1.5806551612903226,0.6326530612244898
RICO,SQUEAK,Undirected,1.6785814285714287,0.5957446808510638
ROSA,STU,Undirected,1.12501,0.8888888888888888
SHADE,TICK,Undirected,1.5151615151515152,0.66
SHELLY,SURGE,Undirected,1.2857242857142857,0.7777777777777778
SHELLY,WILLOW,Undirected,1.0909190909090911,0.9166666666666666
SPIKE,STU,Undirected,1.50001,0.6666666666666666
SPROUT,SURGE,Undirected,1.1428671428571429,0.875
SQUEAK,STU,Undirected,1.303040303030303,0.7674418604651163
STU,TARA,Undirected,1.5666766666666667,0.6382978723404256
STU,TICK,Undirected,1.3714385714285715,0.7291666666666666
TICK,TICK,Undirected,1.1579047368421054,0.8636363636363636
