Source,Target,Type,Weight,probability
CHESTER,SQUEAK,Undirected,1.4444544444444445,0.6923076923076923
CHUCK,DOUG,Undirected,1.2727372727272728,0.7857142857142857
CHUCK,DYNAMIKE,Undirected,1.3157994736842107,0.76
CHUCK,JESSIE,Undirected,1.3636463636363638,0.7333333333333333
CHUCK,LEON,Undirected,1.2727372727272728,0.7857142857142857
CHUCK,SPIKE,Undirected,1.45001,0.6896551724137931
CLANCY,FRANK,Undirected,1.2727372727272728,0.7857142857142857
COLETTE,COLETTE,Undirected,1.0909190909090911,0.9166666666666666
COLETTE,LARRY & LAWRIE,Undirected,1.181828181818182,0.8461538461538461
COLETTE,PENNY,Undirected,1.5806551612903226,0.6326530612244898
COLT,COLT,Undirected,1.1428671428571429,0.875
COLT,DRACO,Undirected,1.3636463636363638,0.7333333333333333
CORDELIUS,DARRYL,Undirected,1.391314347826087,0.71875
CORDELIUS,DOUG,Undirected,1.3000099999999999,0.7692307692307693
CORDELIUS,JESSIE,Undirected,1.2666766666666667,0.7894736842105263
CORDELIUS,LEON,Undirected,1.3636463636363638,0.7333333333333333
CORDELIUS,MR. P,Undirected,1.40001,0.7142857142857143
CORDELIUS,POCO,Undirected,1.4736942105263158,0.6785714285714286
CORDELIUS,RICO,Undirected,1.4705982352941176,0.68
CORDELIUS,SHADE,Undirected,1.3478360869565218,0.7419354838709677
CORDELIUS,SQUEAK,Undirected,1.50001,0.6666666666666666
CORDELIUS,STU,Undirected,1.4762004761904763,0.6774193548387096
CORDELIUS,TICK,Undirected,1.413803103448276,0.7073170731707317
CROW,DOUG,Undirected,1.5483970967741936,0.6458333333333334
CROW,JACKY,Undirected,1.3077023076923078,0.7647058823529411
CROW,JESSIE,Undirected,1.50001,0.6666666666666666
CROW,KAZE,Undirected,1.50001,0.6666666666666666
CROW,MORTIS,Undirected,1.68001,0.5952380952380952
CROW,RICO,Undirected,1.6200100000000002,0.6172839506172839
DARRYL,FANG,Undirected,1.5362418840579712,0.6509433962264151
DARRYL,KIT,Undirected,1.3636463636363638,0.7333333333333333
DARRYL,LOU,Undirected,1.12501,0.8888888888888888
DARRYL,MAISIE,Undirected,1.2857242857142857,0.7777777777777778
DARRYL,TICK,Undirected,1.6279169767441861,0.6142857142857143
DOUG,DOUG,Undirected,1.00001,1.0
DOUG,EL PRIMO,Undirected,1.50001,0.6666666666666666
DOUG,EMZ,Undirected,1.409100909090909,0.7096774193548387
DOUG,EVE,Undirected,1.00001,1.0
DOUG,FANG,Undirected,1.5490296078431374,0.6455696202531646
DOUG,GALE,Undirected,1.3333433333333333,0.75
DOUG,GROM,Undirected,1.4482858620689656,0.6904761904761905
DOUG,JAE-YONG,Undirected,1.1428671428571429,0.875
DOUG,JESSIE,Undirected,1.4814914814814815,0.675
DOUG,KAZE,Undirected,1.393949393939394,0.717391304347826
DOUG,KENJI,Undirected,1.50001,0.6666666666666666
DOUG,LARRY & LAWRIE,Undirected,1.181828181818182,0.8461538461538461
DOUG,MAISIE,Undirected,1.3043578260869566,0.7666666666666667
DOUG,MAX,Undirected,1.4583433333333333,0.6857142857142857
DOUG,NANI,Undirected,1.1785814285714287,0.8484848484848485
DOUG,PENNY,Undirected,1.28001,0.78125
DOUG,R-T,Undirected,1.25001,0.8
DOUG,RICO,Undirected,1.3965617241379311,0.7160493827160493
DOUG,SANDY,Undirected,1.380962380952381,0.7241379310344828
DOUG,SHADE,Undirected,1.56251,0.64
DOUG,SPIKE,Undirected,1.44001,0.6944444444444444
DOUG,SURGE,Undirected,1.4782708695652174,0.6764705882352942
DRACO,DRACO,Undirected,1.181828181818182,0.8461538461538461
DRACO,PENNY,Undirected,1.40001,0.7142857142857143
DYNAMIKE,LOU,Undirected,1.3846253846153846,0.7222222222222222
EDGAR,GRIFF,Undirected,1.7368521052631578,0.5757575757575758
EDGAR,JESSIE,Undirected,1.7985174626865672,0.5560165975103735
EDGAR,JUJU,Undirected,1.3478360869565218,0.7419354838709677
EDGAR,KENJI,Undirected,1.723694210526316,0.5801526717557252
EDGAR,NITA,Undirected,1.679255283018868,0.5955056179775281
EDGAR,PENNY,Undirected,1.7604266666666666,0.5680473372781065
EDGAR,TARA,Undirected,1.710853373493976,0.5845070422535211
EL PRIMO,R-T,Undirected,1.28001,0.78125
EMZ,LEON,Undirected,1.517251379310345,0.6590909090909091
EMZ,LOU,Undirected,1.1666766666666668,0.8571428571428571
EVE,JESSIE,Undirected,1.00001,1.0
EVE,KIT,Undirected,1.1000100000000002,0.9090909090909091
EVE,MEEPLE,Undirected,1.00001,1.0
EVE,MORTIS,Undirected,1.3000099999999999,0.7692307692307693
FANG,GROM,Undirected,1.6181918181818185,0.6179775280898876
FANG,KAZE,Undirected,1.59376,0.6274509803921569
FANG,KENJI,Undirected,1.6851951851851852,0.5934065934065934
FANG,LILY,Undirected,1.6071528571428573,0.6222222222222222
FANG,LUMI,Undirected,1.4762004761904763,0.6774193548387096
FANG,MEEPLE,Undirected,1.3333433333333333,0.75
FINX,GUS,Undirected,1.2222322222222222,0.8181818181818182
FINX,JAE-YONG,Undirected,1.00001,1.0
FRANK,JESSIE,Undirected,1.6097660975609758,0.6212121212121212
FRANK,TARA,Undirected,1.6530712244897958,0.6049382716049383
GALE,SHADE,Undirected,1.2142957142857145,0.8235294117647058
GRAY,KAZE,Undirected,1.2222322222222222,0.8181818181818182
GRIFF,JAE-YONG,Undirected,1.3333433333333333,0.75
GRIFF,JUJU,Undirected,1.1428671428571429,0.875
GRIFF,KENJI,Undirected,1.5517341379310345,0.6444444444444445
GRIFF,SANDY,Undirected,1.50001,0.6666666666666666
GROM,JESSIE,Undirected,1.5416766666666666,0.6486486486486487
GROM,SPIKE,Undirected,1.5483970967741936,0.6458333333333334
GROM,TARA,Undirected,1.5384715384615384,0.65
GUS,JESSIE,Undirected,1.5263257894736844,0.6551724137931034
GUS,MAISIE,Undirected,1.3846253846153846,0.7222222222222222
GUS,MEEPLE,Undirected,1.2941276470588237,0.7727272727272727
GUS,MR. P,Undirected,1.3000099999999999,0.7692307692307693
GUS,NITA,Undirected,1.34376,0.7441860465116279
HANK,KAZE,Undirected,1.2857242857142857,0.7777777777777778
HANK,SHADE,Undirected,1.3333433333333333,0.75
JACKY,LARRY & LAWRIE,Undirected,1.12501,0.8888888888888888
JACKY,SAM,Undirected,1.00001,1.0
JACKY,SQUEAK,Undirected,1.40001,0.7142857142857143
JACKY,TICK,Undirected,1.5555655555555554,0.6428571428571429
JAE-YONG,JESSIE,Undirected,1.25001,0.8
JAE-YONG,KIT,Undirected,1.2727372727272728,0.7857142857142857
JAE-YONG,LEON,Undirected,1.1000100000000002,0.9090909090909091
JAE-YONG,PENNY,Undirected,1.3000099999999999,0.7692307692307693
JAE-YONG,SAM,Undirected,1.1428671428571429,0.875
JAE-YONG,SQUEAK,Undirected,1.4117747058823529,0.7083333333333334
JANET,KIT,Undirected,1.00001,1.0
JESSIE,KENJI,Undirected,1.36001,0.7352941176470589
JESSIE,MELODIE,Undirected,1.25001,0.8
JESSIE,MR. P,Undirected,1.3333433333333333,0.75
JESSIE,RICO,Undirected,1.6734793877551022,0.5975609756097561
JESSIE,TICK,Undirected,1.6666766666666668,0.6
JUJU,KAZE,Undirected,1.00001,1.0
JUJU,KENJI,Undirected,1.00001,1.0
JUJU,PIPER,Undirected,1.3333433333333333,0.75
KAZE,LEON,Undirected,1.43751,0.6956521739130435
KAZE,MANDY,Undirected,1.4791766666666668,0.676056338028169
KAZE,MEEPLE,Undirected,1.3000099999999999,0.7692307692307693
KAZE,MORTIS,Undirected,1.4918132786885248,0.6703296703296703
KAZE,MR. P,Undirected,1.2666766666666667,0.7894736842105263
KAZE,PENNY,Undirected,1.43751,0.6956521739130435
KAZE,RICO,Undirected,1.4054154054054053,0.7115384615384616
KAZE,RUFFS,Undirected,1.00001,1.0
KENJI,LARRY & LAWRIE,Undirected,1.2222322222222222,0.8181818181818182
KENJI,MEEPLE,Undirected,1.20001,0.8333333333333334
KENJI,MR. P,Undirected,1.3333433333333333,0.75
KENJI,SANDY,Undirected,1.5666766666666667,0.6382978723404256
KENJI,SHADE,Undirected,1.4166766666666666,0.7058823529411765
KIT,OLLIE,Undirected,1.00001,1.0
KIT,PEARL,Undirected,1.00001,1.0
KIT,PENNY,Undirected,1.2857242857142857,0.7777777777777778
KIT,SHELLY,Undirected,1.3846253846153846,0.7222222222222222
LARRY & LAWRIE,LOLA,Undirected,1.3000099999999999,0.7692307692307693
LEON,PENNY,Undirected,1.423086923076923,0.7027027027027027
LEON,PIPER,Undirected,1.5490296078431374,0.6455696202531646
LILY,RICO,Undirected,1.441870465116279,0.6935483870967742
LILY,TARA,Undirected,1.2941276470588237,0.7727272727272727
LOLA,PEARL,Undirected,1.230779230769231,0.8125
LOU,MAX,Undirected,1.00001,1.0
LUMI,SPIKE,Undirected,1.388898888888889,0.72
MANDY,NITA,Undirected,1.588245294117647,0.6296296296296297
MAX,MAX,Undirected,1.1111211111111112,0.9
MAX,POCO,Undirected,1.3478360869565218,0.7419354838709677
MEEPLE,SPIKE,Undirected,1.3571528571428573,0.7368421052631579
MELODIE,TARA,Undirected,1.2727372727272728,0.7857142857142857
MICO,MICO,Undirected,1.00001,1.0
MICO,NITA,Undirected,1.3333433333333333,0.75
MICO,R-T,Undirected,1.00001,1.0
NANI,PEARL,Undirected,1.00001,1.0
NITA,RICO,Undirected,1.58001,0.6329113924050633
NITA,SHADE,Undirected,1.5384715384615384,0.65
NITA,TICK,Undirected,1.5946045945945946,0.6271186440677966
OLLIE,RICO,Undirected,1.2727372727272728,0.7857142857142857
PAM,PAM,Undirected,1.00001,1.0
PAM,PEARL,Undirected,1.2727372727272728,0.7857142857142857
PIPER,SPIKE,Undirected,1.6226515094339624,0.6162790697674418
SAM,SAM,Undirected,1.00001,1.0
SANDY,SANDY,Undirected,1.00001,1.0
SANDY,SPIKE,Undirected,1.631588947368421,0.6129032258064516
SHADE,SHADE,Undirected,1.00001,1.0
SPIKE,TARA,Undirected,1.6136463636363638,0.6197183098591549
