Brawler_1,Brawler_2,Weight
AMBER,GENE,10
AMBER,GRAY,25
AMBER,GRIFF,40
AMBER,GROM,44
AMBER,GUS,45
AMBER,HANK,18
AMBER,JACKY,18
AMBER,JAE-YONG,42
AMBER,JANET,21
AMBER,JESSIE,57
AMBER,JUJU,15
AMBER,KAZE,55
AMBER,KENJI,43
AMBER,KIT,56
AMBER,LARRY & LAWRIE,9
AMBER,LEON,23
AMBER,LILY,59
AMBER,LOLA,8
AMBER,LOU,22
AMBER,LUMI,28
AMBER,MAISIE,14
AMBER,MANDY,85
AMBER,MAX,24
AMBER,MEEPLE,20
AMBER,MEG,18
AMBER,MELODIE,31
AMBER,MICO,22
AMBER,MOE,9
AMBER,MORTIS,124
AMBER,MR. P,33
AMBER,NANI,10
AMBER,NITA,33
AMBER,OLLIE,13
AMBER,OTIS,7
AMBER,PAM,11
AMBER,PEARL,11
AMBER,PENNY,55
AMBER,PIPER,49
AMBER,POCO,20
AMBER,R-T,17
AMBER,RICO,45
AMBER,ROSA,12
AMBER,RUFFS,7
AMBER,SAM,12
AMBER,SANDY,44
AMBER,SHADE,47
AMBER,SHELLY,30
AMBER,SPIKE,57
AMBER,SPROUT,10
AMBER,SQUEAK,57
AMBER,STU,38
AMBER,SURGE,29
AMBER,TARA,38
AMBER,TICK,96
AMBER,WILLOW,18
ANGELO,ANGELO,5
ANGELO,ASH,11
ANGELO,BARLEY,21
ANGELO,BEA,53
ANGELO,BELLE,79
ANGELO,BERRY,31
ANGELO,BIBI,11
ANGELO,BO,57
ANGELO,BONNIE,65
ANGELO,BROCK,90
ANGELO,BULL,26
ANGELO,BUSTER,14
ANGELO,BUZZ,12
ANGELO,BYRON,72
ANGELO,CARL,36
ANGELO,CHARLIE,12
ANGELO,CHESTER,16
ANGELO,CHUCK,16
ANGELO,CLANCY,7
ANGELO,COLETTE,88
ANGELO,COLT,33
ANGELO,CORDELIUS,21
ANGELO,CROW,38
ANGELO,DARRYL,25
ANGELO,DOUG,17
ANGELO,DRACO,19
ANGELO,DYNAMIKE,43
ANGELO,EDGAR,110
ANGELO,EL PRIMO,20
ANGELO,EMZ,24
ANGELO,EVE,13
ANGELO,FANG,63
ANGELO,FINX,16
ANGELO,FRANK,21
ANGELO,GALE,16
ANGELO,GENE,32
ANGELO,GRAY,68
ANGELO,GRIFF,32
ANGELO,GROM,54
ANGELO,GUS,56
ANGELO,HANK,13
ANGELO,JACKY,7
ANGELO,JAE-YONG,20
ANGELO,JANET,22
ANGELO,JESSIE,31
ANGELO,JUJU,20
ANGELO,KAZE,40
ANGELO,KENJI,14
ANGELO,KIT,42
ANGELO,LARRY & LAWRIE,17
ANGELO,LEON,31
ANGELO,LILY,60
ANGELO,LOLA,3
ANGELO,LOU,19
ANGELO,LUMI,10
ANGELO,MAISIE,13
ANGELO,MANDY,126
ANGELO,MAX,10
ANGELO,MEEPLE,21
ANGELO,MEG,11
ANGELO,MELODIE,20
ANGELO,MICO,25
ANGELO,MOE,19
ANGELO,MORTIS,78
ANGELO,MR. P,62
ANGELO,NANI,53
ANGELO,NITA,10
ANGELO,OLLIE,10
ANGELO,OTIS,3
ANGELO,PAM,14
ANGELO,PEARL,16
ANGELO,PENNY,41
ANGELO,PIPER,154
ANGELO,POCO,13
ANGELO,R-T,23
ANGELO,RICO,35
ANGELO,ROSA,5
ANGELO,RUFFS,4
ANGELO,SAM,6
ANGELO,SANDY,16
ANGELO,SHADE,30
ANGELO,SHELLY,8
ANGELO,SPIKE,37
ANGELO,SPROUT,22
ANGELO,SQUEAK,64
ANGELO,STU,27
ANGELO,SURGE,19
ANGELO,TARA,20
ANGELO,TICK,112
ANGELO,WILLOW,11
ASH,ASH,2
ASH,BARLEY,19
ASH,BEA,25
ASH,BELLE,15
ASH,BERRY,14
ASH,BIBI,22
ASH,BO,54
ASH,BONNIE,19
ASH,BROCK,23
ASH,BULL,14
ASH,BUSTER,7
ASH,BUZZ,9
ASH,BYRON,10
ASH,CARL,35
ASH,CHARLIE,18
ASH,CHESTER,11
ASH,CHUCK,7
ASH,CLANCY,18
ASH,COLETTE,49
ASH,COLT,24
ASH,CORDELIUS,21
ASH,CROW,27
ASH,DARRYL,13
ASH,DOUG,11
ASH,DRACO,14
ASH,DYNAMIKE,23
ASH,EDGAR,48
ASH,EL PRIMO,20
ASH,EMZ,23
ASH,EVE,3
ASH,FANG,29
ASH,FINX,9
ASH,FRANK,34
ASH,GALE,8
ASH,GENE,8
ASH,GRAY,15
ASH,GRIFF,25
ASH,GROM,17
ASH,GUS,10
ASH,HANK,11
ASH,JACKY,10
ASH,JAE-YONG,13
ASH,JANET,16
ASH,JESSIE,24
ASH,JUJU,6
ASH,KAZE,46
ASH,KENJI,35
ASH,KIT,32
ASH,LARRY & LAWRIE,10
ASH,LEON,11
ASH,LILY,29
ASH,LOLA,10
ASH,LOU,6
ASH,LUMI,16
ASH,MAISIE,14
ASH,MANDY,35
ASH,MAX,23
ASH,MEEPLE,13
ASH,MEG,13
ASH,MELODIE,14
ASH,MICO,5
ASH,MOE,7
ASH,MORTIS,50
ASH,MR. P,14
ASH,NANI,14
ASH,NITA,17
ASH,OLLIE,10
ASH,OTIS,6
ASH,PAM,5
ASH,PEARL,9
ASH,PENNY,14
