Player_Tag,Total_Trophies
#220RQLPYCR,15628
#2R2L0P0L9R,18586
#RYCPQCJYV,50736
#RR2UJGYJL,13471
#2LQQVY8CY8,25486
#2LG28L8P92,12039
#89J9GP2PC,25492
#2CYPG0C0CQ,9482
#2QCC0QQVQ0,30349
#L0P9UQGGR,40280
#PLUQQ9RR0,71878
#2QCYJ0CU,35071
#JQCRJPYC2,30709
#2QJJ9G0RJJ,15795
#8G0L88VPV,53920
#9R9LLPRG0,40756
#2LU9RU8VL8,31413
#PP9VULQGG,56865
#2YJYGPVLQ,87065
#2QRPG0YQU2,11645
#GJG9GQ9J,48803
#Q8Y8JG9QP,10930
#LGVLGVQL9,62359
#2QJLVUQJUU,11863
#RLYP98VVG,29442
#2Y09G88QC,74207
#2C8YUVY8QP,1998
#JQJ2RYCCV,24761
#YJPY2RV9V,42285
#R9RGYPR99,43499
#208JP8QV2,24776
#8GUPRL0UY,10627
#90QPQJP8G,44586
#GYC99QG9,39026
#JGLCRRJY8,24549
#LLUJPPYYG,34411
#2G08PGQ2,58480
#289GJJRJQ,30775
#8PLUQ9PQJ,38695
#28G82VY2Y,13227
#9P2L8VY9U,16615
#8YG20UYPG,16394
#UCQPVRCC,43807
#2LC29VQUCR,44132
#JYCC8R82,78311
#2QRJRV82P2,48991
#YPJPJ8CJJ,79290
#2J2GY8UQ0R,16817
#YG89R8Y0U,2514
#2QG8JYJ0YY,16808
#Q9J0QYV0U,80450
#2J9LU8U8PU,10502
#28VCL9L02,86650
#88YYPJCJL,84255
#YQY9UG2GR,11812
#2R80CRJQLC,17590
#2QJYR8UCVR,8091
#8LV9JJGPJ,23563
#2LCR0J082V,1855
#YLGURPVP2,43951
#98Y92J9U0,61174
#V8LP802C,52379
#2RRCYJRYGR,1763
#8RQG0VRRQ,4405
#9QP0U9CPJ,21647
#P8GJ0V00Y,27577
#JVQJ8VUV,51647
#922C2JGPC,54748
#J9RQ8R9L9,4486
#2QJYYVJVGV,15498
#820YPV802,55665
#2PC0GCCGP,49246
#280PV2YR9Y,20659
#L29YV2UVY,49610
#2CLCY00QRV,2092
#CQV00L0,23016
#L8VVUGJR,28968
#29J29CQUU,3652
#9J8LJUCC9,32536
#2JCVRPCU2U,1950
#JUCLPPR0C,38372
#28GYV99CUP,51146
#YQJ2QCL9V,13884
#C8CJVGLQ8,13188
#G8PJQU0P9,33038
#P29C8QY9Y,52947
#2YPCQG9RJU,16712
#GGPGCYURU,13739
#9PJL2GULL,22715
#2Q8QRCGQC9,47733
#YG8VYLPJ2,9314
#22PR80LGC9,57604
#LU22L2LPC,99674
#GVQ980JLY,13854
#90VLJQ8LY,42457
#9VVGYJ9J2,8383
#9JV880Y2L,53868
#JVUQCP9RC,31184
#20JULV92Q,35665
#RQ8Y98V22,27276
#RPUVVR09,17170
#20Y0UYL0GP,27789
#VYUGU82C,43931
#R88JRP0QJ,24607
#PJRVUGR2P,52724
#L29VGQJ9G,41773
#2CYLPVYLRG,3460
#VVR2UPPUV,11414
#2JG08URQV0,10809
#J0CVCGRJ,32121
#LLR909QCY,31555
#GRJJYVQPL,14178
#2YVVCYRV2,19345
#YCJ8JL8R,25788
#2C8Q98C0CJ,3209
#9LLQVGUUU,15473
#PYGJGUUJ2,63683
#2RUL0CY8VU,7107
#82YGYQY2J,46926
#8YL0JUGUQ,16072
#28RLCVVYQY,41272
#2C8C0CVU0G,584
#2QLQR9V8YC,2078
#9LLQJP288,39827
#2L208RVUVC,10214
#Q92LGL2QU,49636
#2J0V8VVGVJ,11960
#2G29URRRQP,19240
#28GPYUY2CY,7710
#QCG02GPVP,20475
#L9RCQQV9J,34530
#PJU2QCY09,59738
#2QG8289C08,25692
#2RYCPLPQUP,19123
#98PVPGURY,44725
#L2CLY08VV,41954
#9LYR9JULY,27675
#YCR9J9PC,37387
#YCY2GYYGQ,18553
#2QQY8L8L98,8944
#8RPPV0P92,49602
