Source,Target,Wins,Loses,Observations
COLT,JACKY,42,64,106
COLT,KIT,95,139,234
COLT,LARRY & LAWRIE,21,41,62
COLT,MANDY,298,363,661
COLT,MAX,51,85,136
COLT,MEEPLE,22,42,64
COLT,MORTIS,290,423,713
COLT,PAM,47,69,116
COLT,PENNY,85,109,194
COLT,PIPER,248,319,567
COLT,POCO,59,82,141
COLT,RICO,188,245,433
COLT,ROSA,31,53,84
COLT,SANDY,69,99,168
COLT,SHADE,46,77,123
COLT,SHELLY,70,127,197
COLT,SPIKE,129,183,312
COLT,SQUEAK,102,157,259
COLT,STU,76,102,178
COLT,TARA,53,85,138
COLT,TICK,137,183,320
CROW,NANI,42,63,105
CROW,PAM,16,36,52
DARRYL,GENE,21,35,56
DARRYL,SPROUT,14,28,42
DRACO,DRACO,4,14,18
DYNAMIKE,EDGAR,548,683,1231
DYNAMIKE,EMZ,164,245,409
DYNAMIKE,MORTIS,504,702,1206
DYNAMIKE,NANI,51,73,124
DYNAMIKE,PIPER,214,315,529
DYNAMIKE,SURGE,117,169,286
EDGAR,EL PRIMO,205,264,469
EDGAR,FANG,597,662,1259
EDGAR,FRANK,299,392,691
EDGAR,GRAY,88,118,206
EDGAR,KIT,250,312,562
EDGAR,LEON,206,274,480
EDGAR,MAISIE,73,102,175
EDGAR,MAX,97,127,224
EDGAR,MORTIS,595,696,1291
EDGAR,NANI,107,149,256
EDGAR,NITA,171,220,391
EDGAR,PAM,36,67,103
EDGAR,PIPER,498,628,1126
EDGAR,POCO,125,156,281
EDGAR,RICO,349,423,772
EDGAR,SHELLY,158,207,365
EDGAR,STU,136,178,314
EL PRIMO,EMZ,91,137,228
EL PRIMO,FINX,6,16,22
EL PRIMO,GRAY,14,40,54
EL PRIMO,GRIFF,33,74,107
EL PRIMO,JACKY,50,75,125
EL PRIMO,JAE-YONG,10,21,31
EL PRIMO,JESSIE,63,106,169
EL PRIMO,LEON,48,68,116
EL PRIMO,LOLA,8,24,32
EL PRIMO,LOU,11,27,38
EL PRIMO,MANDY,70,102,172
EL PRIMO,MAX,30,50,80
EL PRIMO,MORTIS,164,208,372
EL PRIMO,MR. P,20,37,57
EL PRIMO,NANI,16,46,62
EL PRIMO,NITA,84,123,207
EL PRIMO,PAM,23,56,79
EL PRIMO,PIPER,50,78,128
EL PRIMO,POCO,31,81,112
EL PRIMO,SHELLY,60,112,172
EL PRIMO,SPROUT,19,34,53
EL PRIMO,STU,44,83,127
EL PRIMO,TICK,57,103,160
EMZ,FRANK,150,195,345
EMZ,JACKY,33,71,104
EMZ,MORTIS,196,241,437
EMZ,NANI,51,79,130
EMZ,PAM,31,51,82
EMZ,PIPER,171,206,377
EMZ,POCO,49,113,162
EMZ,ROSA,17,32,49
EMZ,SHELLY,69,126,195
EMZ,STU,55,82,137
EVE,SHELLY,2,9,11
FANG,KIT,104,139,243
FANG,SURGE,103,130,233
FINX,RICO,8,18,26
FINX,SHELLY,10,22,32
FRANK,PIPER,84,113,197
FRANK,SHELLY,69,98,167
FRANK,SPROUT,20,37,57
GALE,NANI,13,24,37
GALE,ROSA,7,24,31
GENE,GROM,26,47,73
GENE,HANK,6,20,26
GENE,LUMI,7,19,26
GENE,MAISIE,7,17,24
GENE,MAX,9,24,33
GENE,MORTIS,36,64,100
GENE,NITA,13,28,41
GENE,PAM,11,29,40
GENE,PENNY,11,27,38
GENE,PIPER,44,91,135
GENE,ROSA,4,24,28
GENE,SANDY,11,30,41
GENE,SHELLY,15,35,50
GENE,STU,10,38,48
GENE,SURGE,9,23,32
GENE,TARA,11,24,35
GENE,WILLOW,3,12,15
GRAY,HANK,22,45,67
GRAY,NANI,24,50,74
GRAY,SURGE,14,30,44
GRIFF,HANK,21,42,63
GRIFF,NITA,49,71,120
GRIFF,PAM,19,38,57
GRIFF,PIPER,58,85,143
GRIFF,POCO,29,63,92
GRIFF,ROSA,17,37,54
GRIFF,SHELLY,31,52,83
GRIFF,STU,48,69,117
GROM,POCO,41,63,104
GROM,ROSA,23,47,70
GROM,STU,56,83,139
GUS,JAE-YONG,10,23,33
GUS,NITA,19,43,62
GUS,RICO,58,81,139
GUS,SHELLY,20,41,61
HANK,HANK,13,80,93
HANK,JACKY,13,25,38
HANK,NANI,14,31,45
HANK,NITA,18,32,50
HANK,OTIS,3,14,17
HANK,PAM,7,21,28
HANK,RICO,29,46,75
HANK,ROSA,4,20,24
HANK,SHELLY,18,31,49
JACKY,JESSIE,32,51,83
JACKY,NITA,19,51,70
JACKY,PIPER,16,32,48
JACKY,POCO,27,51,78
JACKY,SHELLY,29,64,93
JACKY,SPROUT,7,16,23
JAE-YONG,OTIS,1,7,8
JAE-YONG,POCO,7,16,23
JAE-YONG,SHELLY,7,17,24
JESSIE,POCO,40,80,120
JESSIE,R-T,7,26,33
JESSIE,SHELLY,43,75,118
JUJU,RICO,18,35,53
JUJU,SHELLY,4,16,20
KAZE,KAZE,13,30,43
KAZE,SHELLY,20,39,59
KENJI,KENJI,2,12,14
KENJI,STU,44,64,108
KIT,PAM,7,25,32
KIT,SPROUT,17,31,48
LARRY & LAWRIE,PAM,10,22,32
LARRY & LAWRIE,POCO,11,22,33
LARRY & LAWRIE,RICO,21,35,56
LEON,PIPER,168,206,374
LEON,RICO,73,115,188
LEON,SHELLY,29,59,88
LEON,STU,43,61,104
LILY,MAX,18,34,52
LOLA,LOU,2,13,15
LOU,MEEPLE,2,11,13
LOU,R-T,3,12,15
LOU,SPROUT,2,13,15
LUMI,SHELLY,12,24,36
LUMI,SPIKE,21,39,60
MAISIE,NITA,15,29,44
MAISIE,POCO,12,26,38
MANDY,MORTIS,305,354,659
MAX,MEEPLE,6,20,26
MAX,PAM,13,28,41
MAX,PIPER,59,80,139
MAX,POCO,15,32,47
MAX,STU,35,60,95
MEEPLE,SURGE,12,25,37
MEG,RICO,26,43,69
MICO,MICO,1,11,12
MICO,POCO,14,28,42
MICO,STU,13,25,38
MOE,STU,9,20,29
MOE,SURGE,7,17,24
MORTIS,PIPER,231,288,519
MORTIS,RICO,318,372,690
MORTIS,SHELLY,105,133,238
MORTIS,SURGE,192,268,460
